,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19,Bus_20,Bus_21,Bus_22,Bus_23,Bus_24,Bus_25,Bus_26,Bus_27,Bus_28,Bus_29,Bus_30
L6-8,3.002406016113705e-16,3.6696073530278613e-16,3.002406016113705e-16,8.006416042969879e-16,5.337610695313252e-16,5.337610695313252e-16,-0.9999999999999988,8.673617379884035e-16,1.0008020053712348e-15,1.0675221390626505e-15,6.672013369141566e-16,7.339214706055723e-16,1.0675221390626505e-15,7.339214706055723e-16,6.00481203222741e-16,6.00481203222741e-16,1.0675221390626505e-15,1.0008020053712348e-15,1.1342422727540663e-15,5.337610695313252e-16,9.340818716798192e-16,1.0008020053712348e-15,9.340818716798192e-16,8.673617379884035e-16,1.0675221390626505e-15,4.0032080214849395e-16,3.336006684570783e-16,0.0,0.0
L6-9,-5.366410753021777e-16,-3.86880775217849e-16,-5.740811503232599e-16,-9.98402000562191e-16,-1.6224032509135604e-15,-1.4976030008432866e-15,-1.0483221005903005e-15,-0.35653786314049574,-0.210159238439041,-0.29213126827185565,-0.20339244333817752,-0.2026164558695695,-0.2023522237821118,-0.20040954285401236,-0.20294072393806023,-0.202645288262287,-0.2020308843267447,-0.2052757319470726,-0.2057865952148494,-0.20197024338286834,-0.18716149105895283,-0.1834639782149215,-0.16580491611734305,-0.10478694388559208,-0.10478694388559143,-0.038185819848382506,-0.029385009502411075,0.0,0.0
L6-10,-1.567923141748268e-15,-1.2510025067140436e-15,-1.734723475976807e-15,-3.0691261498051203e-15,-4.737129492090512e-15,-4.4035288236334336e-15,-2.735525481348042e-15,-0.5617718104428219,-0.6895670299253623,-0.6180017070151398,-0.6673640621449595,-0.6648179196200737,-0.6639509306782002,-0.6575766750060145,-0.6658818964908957,-0.664912523443153,-0.6628965630687571,-0.6735434418485301,-0.6752196682608229,-0.6626975901572105,-0.6141076379250379,-0.6019754900884386,-0.5440332026480184,-0.34382319905057285,-0.34382319905057096,-0.12529395601969573,-0.09641704964963271,0.0,0.0
L9-11,-4.4156597570318724e-16,-4.4156597570318724e-16,-5.046468293750712e-16,-1.0092936587501424e-15,-1.2616170734376779e-15,-1.13545536609391e-15,-1.13545536609391e-15,0.32554606133603353,-0.10632562260947563,-0.4244774795999909,-0.10290210572050096,-0.10250951126998026,-0.1023758286328472,-0.10139297029768174,-0.1026735678421802,-0.10252409840937816,-0.10221325373052648,-0.10385491576768889,-0.10411337623518101,-0.10218257372730143,-0.09469039863852174,-0.09281972020359706,-0.08388549115818177,-0.05301473840852116,-0.05301473840852167,-0.019319308065585506,-0.014866724175133366,0.0,0.0
L9-10,-1.0842021724855044e-16,-1.7618285302889447e-16,-1.6263032587282567e-16,-3.2526065174565133e-16,-3.2526065174565133e-16,-3.2526065174565133e-16,5.421010862427522e-17,0.3179160755234715,-0.10383361582956464,0.13234621132813543,-0.1004903376176753,-0.10010694459958863,-0.09997639514926356,-0.09901657255632869,-0.10026715609587811,-0.10012118985290716,-0.09981763059621639,-0.1014208161793824,-0.10167321897966744,-0.09978766965556629,-0.09247109242042993,-0.09064425801132375,-0.08191942495916038,-0.05177220547707009,-0.05177220547706999,-0.018866511782797,-0.014518285327277523,0.0,0.0
L10-11,-1.4869058365515488e-16,-2.4781763942525814e-17,-9.912705577010326e-17,-1.982541115402065e-16,-3.96508223080413e-16,-2.9738116731030977e-16,-9.912705577010325e-16,-0.3255460613360358,0.10632562260947306,-0.5755225204000118,0.10290210572049838,0.10250951126997757,0.10237582863284486,0.10139297029767964,0.10267356784217838,0.10252409840937594,0.10221325373052488,0.10385491576768652,0.10411337623517825,0.10218257372729866,0.09469039863851907,0.09281972020359432,0.08388549115817902,0.05301473840851869,0.05301473840851809,0.019319308065583043,0.014866724175131255,0.0,0.0
L10-12,-2.4404081725347813e-16,-1.89809524530483e-16,-2.4404081725347813e-16,-4.338503417839611e-16,-6.507755126759416e-16,-5.965442199529465e-16,2.711564636149757e-16,0.014702376225399598,0.018046960915683582,0.01617399348912444,-0.4063794945870061,-0.37615648612170804,-0.36586522635385504,-0.29020206875073706,-0.2312510117448953,-0.11671264641859243,-0.2389412953892474,-0.1363513097165199,-0.12019971757591706,-0.0650460667516668,-0.10769169481205494,-0.21065300322757152,-0.12775450336658964,-0.08073948763939064,-0.0807394876393902,-0.02942259231278505,-0.022641471575825547,0.0,0.0
L10-17,-3.192742593822345e-16,-1.862433179729701e-16,-3.192742593822345e-16,-4.2569901250964597e-16,-7.449732718918804e-16,-6.38548518764469e-16,-2.1284950625482298e-16,0.032038008422355095,0.0393262066587379,0.035244815646363475,-0.22512918840906343,-0.2130871950029777,-0.2089867666023077,-0.17883969352099913,-0.4046562286936904,-0.5220713595299985,-0.14255944058258394,-0.06995049645082813,-0.058519068288657175,-0.2783970519938072,-0.3566481805989355,-0.22758873271553787,-0.27839036303405795,-0.17593974915010333,-0.17593974915010313,-0.06411489176123418,-0.04933812371006871,0.0,0.0
L10-21,-1.3968583601222403e-16,-3.492145900305601e-17,-1.0476437700916802e-16,-2.7937167202444806e-16,-2.7937167202444806e-16,-2.0952875401833604e-16,0.0,0.022914349528092015,0.02812704313928265,0.025207934717015833,-0.07888607100301685,-0.07696625580930302,-0.07631253806682659,-0.07150628988218147,-0.140250189140815,-0.18038384225725426,-0.05493760284108989,-0.021778107681415124,-0.016557533393434354,-0.492043654740998,-0.27025281878861585,-0.13399334933739915,-0.19911144287494167,-0.12583631462863012,-0.12583631462862999,-0.04585650332582881,-0.03528780556046859,0.0,0.0
L12-13,-3.1271930463277446e-16,-2.7797271522913285e-16,-3.1271930463277446e-16,-6.949317880728321e-16,-8.339181456873986e-16,-6.949317880728321e-16,-5.559454304582657e-16,0.0021604858915655147,0.0026519661751421017,0.0023767372163394744,0.04138039815445989,-0.4497874018778972,-0.2765245596255203,-0.08950904662931866,0.02271969964637401,0.010515140637603258,-0.07418298122289341,-0.043510388373450976,-0.03868134773804852,0.00456216787264346,-0.0032212179686266283,-0.05487039724156093,-0.018773278405898042,-0.011864512325288352,-0.011864512325287518,-0.004323593316521303,-0.0033271206745069427,0.0,0.0
L12-14,-2.8866953318386805e-16,-2.5258584153588456e-16,-2.8866953318386805e-16,-7.216738329596702e-16,-7.216738329596702e-16,-6.495064496637031e-16,-6.495064496637031e-16,0.0030076030846193473,0.0036917906660724636,0.003308645620458736,0.057605473665882076,-0.272532956228356,-0.38494864592694483,-0.12460515747617439,0.03162799581557247,0.014638081896446458,-0.10326980797383398,-0.06057062385633177,-0.053848137230760915,0.006350974204403662,-0.004484243630790916,-0.07638484316986839,-0.02613419984013879,-0.016516536398749036,-0.016516536398748168,-0.0060188555945531325,-0.004631670330552882,0.0,0.0
L12-15,-2.8581256354766614e-16,-2.5405561204236994e-16,-2.8581256354766614e-16,-6.351390301059248e-16,-6.986529331165173e-16,-6.351390301059248e-16,-6.986529331165173e-16,0.007590355465426083,0.009317055033868427,0.008350103275540765,0.145380227901151,0.02575266669602299,-0.014981805822498459,-0.31446883496894956,0.07982028350975949,0.03694245610207718,-0.26062433416697117,-0.15286344404391927,-0.13589775353755487,0.016028096263662556,-0.011316986382053168,-0.19277414456546302,-0.06595546719761934,-0.041683153925869215,-0.04168315392586871,-0.015189921067489752,-0.011689050455936992,0.0,0.0
L12-16,-1.0741321832673728e-16,-5.370660916336864e-17,-5.370660916336864e-17,-3.222396549802118e-16,-1.0741321832673728e-16,-1.0741321832673728e-16,-7.518925282871609e-16,0.0019439317837863018,0.0023861490405980936,0.00213850737678343,0.34925440569149724,0.32041120528852013,0.3105897850211065,0.23838097032370237,-0.3654189907166053,-0.1788083250547224,0.1991358279744469,0.12059314655717998,0.10822752093044519,-0.09198730509237739,-0.08866924683058712,0.11337638174931867,-0.0168915579229339,-0.010675284989488085,-0.010675284989488085,-0.003890222334222957,-0.002993630114831145,0.0,0.0
L13-14,1.0204255741040041e-16,1.0204255741040041e-16,1.0204255741040041e-16,0.0,4.0817022964160165e-16,2.0408511482080082e-16,-2.0408511482080082e-16,0.0021604858915686355,0.0026519661751449562,0.002376737216341498,0.041380398154463004,0.5502125981221058,-0.27652455962551603,-0.08950904662931465,0.022719699646377888,0.010515140637607109,-0.07418298122288913,-0.04351038837344765,-0.038681347738044616,0.004562167872645961,-0.003221217968622873,-0.054870397241558434,-0.018773278405894857,-0.011864512325284638,-0.011864512325284638,-0.0043235933165185775,-0.0033271206745041585,0.0,0.0
L14-15,-3.3200449300991524e-17,-3.3200449300991524e-17,-3.3200449300991524e-17,0.0,-6.640089860198305e-17,-6.640089860198305e-17,-1.328017972039661e-16,0.005168088976188033,0.006343756841217783,0.00568538283680116,0.09898587182034625,0.27767964189375066,0.3385267944475387,-0.21411420410548873,0.0543476954619515,0.025153222534053634,-0.17745278919672214,-0.10408101222977875,-0.09252948496880584,0.010913142077049973,-0.007705461599413992,-0.13125524041142572,-0.044907478246034145,-0.02838104872403342,-0.028381048724033683,-0.0103424489110715,-0.007958791005057005,0.0,0.0
L16-17,4.105854381010194e-16,3.6952689429091746e-16,3.2846835048081555e-16,1.1496392266828543e-15,9.854050514424466e-16,9.854050514424466e-16,0.0,0.001943931783788828,0.0023861490406002234,0.002138507376786197,0.3492544056914978,0.32041120528852063,0.3105897850211081,0.23838097032370392,0.6345810092833951,-0.1788083250547202,0.19913582797444887,0.12059314655718112,0.1082275209304469,-0.09198730509237589,-0.08866924683058536,0.11337638174931888,-0.016891557922932517,-0.010675284989485754,-0.01067528498948674,-0.003890222334220544,-0.002993630114828609,0.0,0.0
L15-18,-1.8528421639271638e-16,-9.264210819635819e-17,-1.8528421639271638e-16,-3.7056843278543276e-16,-7.411368655708655e-16,-7.411368655708655e-16,-9.26421081963582e-16,-0.012035592240845437,-0.014773520921902823,-0.013240280860510968,0.16036175148403958,0.20122443855564487,0.21513862343731288,0.3174381657060994,0.09266519084954283,0.04838996349958293,-0.5715108914174307,-0.3492607400531696,-0.3142700557823457,0.02918106005359649,0.06667643478437307,0.21320438302284117,0.10458180948976188,0.06609459151803053,0.0660945915180309,0.024085788468221563,0.018534658305672653,0.0,0.0
L18-19,2.7774091676746745e-16,2.7774091676746745e-16,2.7774091676746745e-16,7.406424447132465e-16,7.406424447132465e-16,6.480621391240907e-16,-9.258030558915581e-17,-0.012035592240841947,-0.014773520921899291,-0.013240280860507126,0.16036175148404505,0.20122443855564898,0.21513862343731763,0.31743816570610495,0.09266519084954872,0.04838996349958753,0.42848910858257666,-0.3492607400531646,-0.3142700557823404,0.029181060053599835,0.06667643478437817,0.21320438302284514,0.10458180948976552,0.06609459151803451,0.06609459151803414,0.024085788468224647,0.018534658305675134,0.0,0.0
L19-20,5.880418562633245e-16,7.350523203291555e-16,5.880418562633245e-16,1.176083712526649e-15,1.176083712526649e-15,1.7641255687899733e-15,2.352167425053298e-15,-0.01203559224084175,-0.014773520921899954,-0.013240280860507218,0.16036175148404366,0.20122443855564834,0.21513862343731574,0.31743816570610367,0.09266519084954875,0.04838996349958699,0.42848910858257455,0.6507392599468325,-0.3142700557823427,0.02918106005359916,0.06667643478437656,0.21320438302284347,0.10458180948976407,0.06609459151803378,0.06609459151803142,0.024085788468223464,0.01853465830567435,0.0,0.0
L10-20,-4.1221151904399374e-16,-2.576321994024961e-16,-4.1221151904399374e-16,-6.870191984066562e-16,-1.1679326372913157e-15,-1.0305287976099844e-15,-5.49615358725325e-16,0.012035592240841388,0.01477352092189909,0.01324028086050664,-0.16036175148404477,-0.20122443855564942,-0.21513862343731746,-0.3174381657061043,-0.09266519084954851,-0.04838996349958789,-0.4284891085825751,-0.6507392599468332,-0.685729944217657,-0.029181060053600664,-0.06667643478437803,-0.21320438302284567,-0.10458180948976568,-0.0660945915180348,-0.06609459151803412,-0.024085788468225056,-0.018534658305675702,0.0,0.0
L17-21,7.752954082577909e-17,9.691192603222386e-17,1.1629431123866863e-16,0.0,2.3258862247733726e-16,2.3258862247733726e-16,1.5505908165155817e-16,0.0020967874466859176,0.002573777226123129,0.0023066629496382596,0.07643678134213643,0.06979539217363007,0.06753392765956692,0.050907241539378915,0.1391031264769681,0.1800884683027675,0.04286954953879545,0.026783434306652525,0.024250863796455246,-0.34338602579354094,-0.04018051588378091,0.01705638118863087,-0.018219778545305924,-0.011514706299080078,-0.011514706299080078,-0.004196119135068426,-0.003229025883084626,0.0,0.0
L17-22,0.0,0.0,2.569960705150825e-17,-1.02798428206033e-16,5.13992141030165e-17,0.0,1.5419764230904951e-16,0.031885152759458184,0.039138578473214475,0.035076660073510804,0.047688435940299444,0.037528618111913756,0.034069090759233506,0.008634035263327193,0.0908216541127374,0.11903184711251315,0.013706837853070931,0.02385921579970089,0.02545758884533445,-0.026998331292642792,-0.4051369115457393,-0.1312687321548488,-0.27706214241168475,-0.17510032784050808,-0.17510032784050827,-0.0638089949603872,-0.04910272794181392,0.0,0.0
L21-22,-4.215609905168426e-17,-5.269512381460532e-17,-4.215609905168426e-17,-8.431219810336852e-17,-8.431219810336852e-17,-1.2646829715505277e-16,4.215609905168426e-17,0.02501113697477804,0.03070082036540665,0.02751459766665452,-0.002449289660879615,-0.007170863635671528,-0.008778610407258296,-0.020599048342802195,-0.0011470626638462457,-0.0002953739544861104,-0.012068053302294149,0.005005326625238273,0.007693330403021913,0.16457031946546255,-0.3104333346723962,-0.11693696814876703,-0.2173312214202464,-0.13735102092770915,-0.13735102092770932,-0.05005262246089701,-0.03851683144355289,0.0,0.0
L15-23,-1.826024711554534e-17,-1.826024711554534e-17,-5.478074134663601e-17,-3.652049423109068e-17,-7.304098846218136e-17,-7.304098846218136e-17,-2.5564345961763475e-16,0.024794036682458883,0.030434332796988595,0.027275766972851966,0.08400434823745666,0.1022078700341277,0.10840636518772648,0.15397879521946112,0.041502788122166054,0.013705715136546366,0.13343376805373455,0.09231628377947013,0.0858428172759836,-0.002239821712884437,-0.08569888276584199,-0.537233767999731,-0.21544475493341608,-0.13615879416793247,-0.13615879416793306,-0.049618158446783134,-0.03818249976666648,0.0,0.0
L22-24,0.0,-4.9872260928897185e-17,-3.3248173952598124e-17,-1.329926958103925e-16,-6.649634790519625e-17,-6.649634790519625e-17,6.649634790519625e-17,0.05689628973423601,0.06983939883862018,0.06259125774016508,0.04523914627941871,0.030357754476240888,0.025290480351974155,-0.011965013079475433,0.08967459144889013,0.11873647315802592,0.0016387845507763062,0.028864542424937824,0.03315091924835504,0.1375719881728177,0.284429753781863,-0.2482057003036169,-0.4943933638319325,-0.3124513487682176,-0.31245134876821773,-0.1138616174212841,-0.08761955938536681,0.0,0.0
L23-24,2.2779197159291403e-16,1.9274705288631188e-16,2.628368902995162e-16,3.8549410577262376e-16,6.308085367188389e-16,5.607186993056346e-16,5.256737805990324e-16,0.024794036682459938,0.030434332796989937,0.027275766972853076,0.0840043482374584,0.10220787003412989,0.10840636518772855,0.15397879521946312,0.041502788122167705,0.013705715136548193,0.13343376805373663,0.09231628377947204,0.0858428172759855,-0.0022398217128828317,-0.08569888276583973,0.46276623200026984,-0.21544475493341442,-0.1361587941679314,-0.13615879416793153,-0.04961815844678201,-0.03818249976666544,0.0,0.0
L24-25,2.339140733318112e-16,1.837896290464231e-16,2.6733036952207e-16,4.009955542831049e-16,6.683259238051749e-16,6.349096276149162e-16,4.678281466636224e-16,0.08169032641669681,0.10027373163561111,0.08986702471301908,0.12924349451687822,0.13256562451037168,0.13369684553970373,0.14201378213998825,0.13117737957105907,0.1324421882945752,0.13507255260451345,0.12118082620441091,0.1189937365243414,0.13533216645993587,0.19873087101602396,0.21456053169665457,0.29016188123465453,-0.4486101429361484,-0.4486101429361491,-0.16347977586806609,-0.12580205915203216,0.0,0.0
L25-26,1.151301460744521e-16,8.634760955583908e-17,1.151301460744521e-16,2.532863213637946e-16,3.453904382233563e-16,3.453904382233563e-16,4.1446852586802756e-16,5.986767595871509e-16,1.0131452854551784e-15,8.289370517360551e-16,1.2894576360338636e-15,1.2894576360338636e-15,1.2434055776040827e-15,1.4276138113232061e-15,1.2434055776040827e-15,1.1973535191743018e-15,1.4736658697529868e-15,1.3815617528934252e-15,1.3355096944636443e-15,1.3355096944636443e-15,1.151301460744521e-15,1.6578741034721102e-15,1.1052494023147402e-15,1.1052494023147402e-15,-0.9999999999999992,4.605205842978084e-16,3.684164674382467e-16,0.0,0.0
L25-27,1.2246007330963562e-16,1.3776758247334009e-16,1.3776758247334009e-16,2.7553516494668017e-16,4.592252749111336e-16,4.286102565837247e-16,-1.2246007330963562e-16,0.08169032641669656,0.10027373163561115,0.08986702471301891,0.12924349451687808,0.13256562451037185,0.13369684553970376,0.14201378213998817,0.1311773795710591,0.13244218829457535,0.1350725526045135,0.12118082620441087,0.11899373652434139,0.13533216645993623,0.1987308710160239,0.21456053169665423,0.2901618812346541,0.5513898570638508,0.5513898570638508,-0.16347977586806595,-0.12580205915203216,0.0,0.0
L6-28,-7.28583859910259e-16,-4.85722573273506e-16,-7.979727989493313e-16,-1.3183898417423734e-15,-2.1510571102112408e-15,-2.0816681711721685e-15,-1.3183898417423734e-15,-0.08169032641669995,-0.10027373163561434,-0.08986702471302274,-0.1292434945168818,-0.1325656245103754,-0.133696845539707,-0.14201378213999144,-0.13117737957106246,-0.13244218829457843,-0.13507255260451656,-0.12118082620441402,-0.11899373652434438,-0.13533216645993945,-0.19873087101602702,-0.21456053169665804,-0.29016188123465736,-0.551389857063854,-0.5513898570638539,-0.8365202241319366,-0.87419794084797,0.0,0.0
L27-28,1.1584130056606391e-15,9.846510548115432e-16,1.1584130056606391e-15,3.2435564158497894e-15,2.780191213585534e-15,2.3168260113212783e-15,2.3168260113212783e-15,0.08169032641670039,0.10027373163561432,0.08986702471302296,0.12924349451688133,0.13256562451037474,0.13369684553970662,0.1420137821399907,0.13117737957106224,0.13244218829457888,0.13507255260451612,0.12118082620441377,0.11899373652434433,0.13533216645993948,0.19873087101602702,0.21456053169665773,0.2901618812346571,0.5513898570638543,0.5513898570638539,0.8365202241319364,-0.12580205915202833,0.0,0.0
